old_commit	old_tree	new_commit	author_date	subject
34bc1aa676529fab5fb207276fdf6628bc1c5531	b9560a599ee7e1d112e56510e5e1529b675bd278	a4d0342863ba01b90c7f6d7a211e084d1a9759ab	2026-07-23T13:25:22-07:00	Initial Kilix Cap mansion interface
22389c55fbf54117a40086396f31c3998a7a7478	951ebf8eb36f77b8a7bb1e4e3a7388eb96b470df	2efc0f4dde24353d337a1c36d99a05104ab7bca7	2026-07-24T16:09:21-07:00	Add versioned browser readiness handoff
276e3fca09f3ccd89724851618af581f7791d072	3a31d765d5269e1daa424915aa15b67cf70e2ebf	3596df82f6b0647bd52f75bc5ff0efc1415c076d	2026-07-28T10:42:33-07:00	Correct Desk prop interaction silhouettes
7eed94b10372c5673ea69200fc0be7868af5603d	f124ad07a77cbe68c047b6c229480cf8bde86b4c	0baafc8f37c7633e4c116cf26b56afd1de21c385	2026-07-30T13:05:16-07:00	Adopt canonical shell for mansion console
5966bd66ac0304d96975b398bba28885479d4a47	c7e2b8d809a72371907889f4eca58c9274a6f9bc	0c39a3e00c073139eb9e801e4eda8703b534415f	2026-07-30T13:50:24-07:00	Document the grouped desktop layout
38c40a4e0bddc21fd5beaf4eb45c678ff3e5d723	224a46dc1e6e99f668165ad8fa358fba9cde455a	cb7f277d3e83d65be429ce28355f8ff01a2d3771	2026-07-31T03:10:58-07:00	Show renamed Kilix games in the catalog
15a1826ae817d482aa857bffa0da834ae084fbe2	7bb915168236e6ae811d69987c88b943ffc9ad00	07d4d654e50eb5213996616b5e535ce517decd65	2026-08-04T01:57:04-07:00	Start the text browser when the computer has no graphical one
a1c1fcf201e929b1ebfdd1471f92ada3525c1d16	3505c0ea5863da2ac7e4f3704e09ac335ce92963	a3a89c92486dbe45170baea0ebe9d1124af7b297	2026-08-04T19:23:33-07:00	Add the Study laptop and an optional generated small-prop atlas
9bd56962a57108f524e6b9c937dd53c45a94b22a	6a421dfcaad12f3d591a376a8c4856ef180d675e	933e6e8fdef7b466a457136ba0fd5737d5f7aab9	2026-08-04T20:01:45-07:00	Ship the generated small-prop atlas and its provenance
032f3f16ed4bbd3ae8e5aa9a99086a9ce62d230f	407e83a13916d34b393763136522fc00f5211f91	2160b610927d8628aa0e9fc11129b4866d0f4dc4	2026-08-04T14:15:04-07:00	README: embed the series episode (media release)
71fffcf02325867a6c096e14f079bb3bfda89bb6	b8f63fdd0e01266cc3623d2f6fb94f404bb8832e	8f624a62a9b0623a519c889cdb98f9cf37d26a25	2026-08-04T20:04:47-07:00	Merge remote-tracking branch 'origin/main'
05d95149ec697f21f14a975b933f091191b8a651	4266de62a745cc02abc547bf6068405c625faf09	ab3d349ad555dd6c9b71294d9cac19a804fda497	2026-08-04T21:50:38-07:00	Reach the stack's own settings and updater from the Server Room
563fa968e35191b4d4943cc8038142176bc33c02	eb4bf5fdba08850bbb057e39ca2cda4b586999ae	9818a6b3bdff0e583d369cdac5867105413d19ba	2026-08-04T23:12:41-07:00	Game Room: hand launches to the host when it owns games
f47b95736823c5205b0077e8d6cf96368516e726	95274ed0ff6922480a12d3663761d59557e28a0f	3ac89f1636db56d26f23bcfe16b4a340ba4ff98b	2026-08-04T23:13:32-07:00	Close the laptop's lid when nothing runs, and its sessions on request
ac537a8be473a685982e5bde8e3ed2b4b40a7e8f	253ede0c2157dae35994e1269fdd3e047688cac2	ad38ed5df2ae526df5628a75aab1b3499bd13b56	2026-08-04T23:25:33-07:00	Ship the laptop lid frames
de357ffe9371e033edbe63a078ad255b70312ac3	eb4a0436a8051431eec7d2e7c17d7d36afad50fc	385c5854c14c2f02f678b646e51713b198dc672e	2026-08-05T02:52:14-07:00	Give the mansion a master breaker
74a9b4447a9a2ed7ca370e9c1c4878d74d7d178e	d9a51bf3d1c5403124ebbe0dd5b67edca871f7e1	fc4644fe54c6bd1654d7b55369eae2185e952949	2026-08-05T06:54:59-07:00	Move the master breaker to the room that has a wall for it
c86fa28df9c8e1d8d1b4cc4f2907eb812ac8d0db	3b517b13e95f5c265da9cdbd5ba45611ec9814af	9a7fa36550d1906113f8930258dc5787b6d13203	2026-08-05T07:17:40-07:00	Give the breaker a face
d2af50ab6d74b76e1afed02e08af2dd96e8e7bd5	73dad8e728b12f0d0c718c59887a382f353aae4f	0290ac9e35b1ec3b7acfacd498c00062758788f1	2026-08-06T02:28:00-07:00	Take kitty-framebuffer 0.3.0 for its shared-memory transport
bf340df5e514a3d8efa9e9c8c1c7a0b884e5cf6b	a1f27a8d8aa1f1d8782468edc6c7c0570342f44d	452217b9ed81ddebb260294fb2f15a0c604e62dd	2026-08-06T02:28:27-07:00	Draw the mansion at 1440x960
cf23f6644846973be763d51d2b190419919807ca	c77809ea8895705938f5a0692d874830a77c7d4a	42c94692c6541fd3a243fa4c6b51844de7e9ac64	2026-08-06T02:44:19-07:00	Take the shared stack from kilix-game-sdk instead of vendoring it
f0eb2d33122e29fb97212f57102656a61f99b220	4cefbc96701cc77dc749b27fcd19a2fe37b69113	e3f1b038bcb25311cd4bce3e10212001cc8d584a	2026-08-06T03:03:00-07:00	Draw text with soft-raster's face
3568f3aa71e99efa21db4f9f07d7b48419f875a8	a1ee923c5e709108f9d903894763e4eb51f70e9b	76c0094b31369461a1a42c77072da4c4b26ca2b5	2026-08-06T04:07:54-07:00	Draw Cap's own face again, from the shared module
19c6f6b6941772d363b43a57b8f82e1c94e865d5	e1ea5f521a813bc7e80568c707be04e5b6979494	c980bcc5d12df3d587fcd070c8a31f72ef79fa11	2026-08-06T04:20:09-07:00	Load runtime rasters as PNG, through the SDK's asset loader
2c5a05719b47d0addb6876639b9bce5bb4002983	544b858a2bdff43eb5ff88755eb90bc84f6f79c5	cbd9f1d379a541bdebce232b5dbd6e84d688196e	2026-08-10T06:00:55-07:00	deps: advance reviewed game SDK
80a31ee317e3e356c042768a79b714b61ea89044	1f1354fb81f74d8814131d8657132d5921f3f6e7	06aacc1a3fcc81b980a825ee2c0fbb8421c48be8	2026-08-10T15:57:52-07:00	Add PDF Conversion to the server room
074e9c1559a696c95095215d12c21795452f1933	f53b85f18a34323d95022455172fc3b536375613	a835514a00b5a2732576750bbea16b974d013237	2026-08-10T17:42:26-07:00	Open shared centers from the server room
8549186521de5d4add614bf25e3b1b8bf10b1896	246e3c29b60d53f4969b5c73395a1d34c3e0f333	fae3572992e3e194d2fa052e6726131fbd859bdb	2026-08-18T02:02:17Z	test: recognize shared-memory Kitty frames
e8e7da0d926158f94ee0f199eb6fea00280bfc11	55629247093f06808305198d5c46b5a745b7b48e	1dc10c87d0a33f5801ae07d7c0aff8a01bd2a429	2026-08-25T03:32:55Z	Add desktop provider protocol v1 adapter
7cc98eece67f9b6547d5fb0149d483117721a5cf	720cf436517157d35112b2aab2ce3e2e81c97efd	2e7b99ec76167818162423891f17a1a5c6d3f5d8	2026-08-25T18:15:20Z	Use the shared desktop persistence store
