old_commit	old_tree	new_commit	author_date	subject
e9970a4811a310219e4bbc33460f0f6100cdd812	846c99e94e12793f6b18c0c850caac0e7fa9bfae	4d811f83457a82fb1aec8bf14b4a2c83d80a7c23	2026-08-25T02:51:10Z	Add desktop provider contract v1 candidate
5a8ee12a1fec1081bb06b62850f1733537d681fb	ad289bad6efdf4aa9393d88e83d72d86a42c4501	9151946f7293bc0b61cda16e86f8e0ba362f988c	2026-08-25T03:32:55Z	Add desktop provider conformance runner
0ba8eb2ad076e5200f7777a372c6c9a9b0caeae1	5e2f4678178bc04f1fd8c4baeff172026b3b1d6f	dc4eda072faf58588b7f1a0a36dcc80d84a392dc	2026-08-25T03:49:35Z	Harden provider conformance side-effect checks
5767b0442add4b83694008580e4cdc57f43508ac	ec9b4eff2dc2281b528af67a1e6b12025fdc4c86	5b5a4655f019651758750255b99cd471e6885ada	2026-08-25T18:15:20Z	Add shared desktop persistence migration
b34fa9b85cad80cbfb33588378fac50f7fda21d3	83fbb08934367c79120177dae5d095e373346c9f	9270a2054ca30a5a12462411ab30305f8669a856	2026-08-28T22:06:57Z	Close desktop provider conformance environment
ba546887ba81fc69dd8699771377108e92209606	bad38de3cb4f273450ba9539f2b35722ffc5640f	a9e82c84bce8a9d4764c4ad5f92ad881b24d9cf1	2026-08-29T19:52:46Z	Add F110 local conformance gate
04817c7d3aea07196d6714deca3dd60a434fe907	ae9051f5c783b5dc79cfd93d78686cf40f1040e1	2964640ec17118f9cd855c53fcea3daae74dd81c	2026-08-29T20:18:24Z	Bind F110 provider entry bytes
e0bbecbc7f43e0a6449840b8ad9c0fcd2ec4bb3a	c41ae590baa3bf46b58b1a3aa47d6e6ad14a67b6	3e7f4f5fd0e7067c92f03c3f9700f47e92a784df	2026-08-29T20:46:39Z	Bind F110 providers to clean source worktrees
fbcf2e86082a46e3de91973195c82ef4f4d46b50	75ae867a4cfa239d77f9706e22378139635ed9c8	ed32475ac4e87f8415af10ca1a8a02ad1b739aaa	2026-08-29T21:18:15Z	Harden F110 local evidence bindings
5f70abe9a7466cb493a4c6ec6a0d43ecf432325f	df6efd60a8122fcd98ddac8ed6d2914c2efacc17	b9f32399a65217dff90fa2f3db769944daa1f81e	2026-08-29T21:55:03Z	Freeze F110 launcher profile inputs
4134272b08b8fb77a01ccc36c729adaa9260824d	6f3e00400654183f3bae7f7a5fbf7e83c25dd175	81aa5e13c376f5b74e64b42f0af3e2d14f07d228	2026-08-29T22:18:10Z	Bind F119 result channel preparation
cee97a818df19ed50eb38d6562e67a7cf9d23f64	d071d23ce638a357ffa203566cfcc010708ca2eb	249384a207dddb6ba2efacf613da91b06b7ae4be	2026-08-29T22:32:33Z	Validate F119 result channel consumption
a14063b9282b1f1b28a8d97e0d04070b853e89d7	c2c6bff272b4dc6e6d85f23960d2d9c52fbcda23	adabaf94012d577edb7c8fc1959a8eb895f79d4a	2026-08-29T22:38:26Z	Bind F119 R5 executable preparation
b71e4ac268011e60f92896967cb498f813af8b71	05f8d266ce2c4d08c083650ded086c2011ee1486	5b46744c44ed94578051c054f2924c13a58a4adf	2026-08-29T22:54:31Z	Bind F119 R6 consumer preparation
3ecccbf39bbb339f6fbd269e8df62ea62ff63dc8	95f2563a7d3d23fdfc873eabd73c796781fc62c6	f17e2e2aa77b4c04793190d35d76cbd000284d73	2026-08-29T23:03:20Z	Qualify common matrix failures
6afbfaff77bc3abbc0750f66cd15b2fd94f54baf	454c720c58ed81df91da5871e66199e81f40de42	6cc126b876715fa24e238307cd242b2028391f20	2026-08-29T23:14:20Z	Bind F111 result-shape repair input
246a179e53cadb11b6af1c4f67875d6eb605becc	b3f886321aad1f8599e89bc1504011dcbec887e0	e79252915045772e94150b74ff8d6915caa7d090	2026-08-29T23:23:07Z	Bind F119 R6 checksum correction
0358d2bd27700534a24105edbcb0fdf016de29a5	163fc523a13f92c9efcaaaa47389c370c5c6eb4f	19f1155d4da8787f5d35bf802cb96f8093b12012	2026-08-29T23:31:32Z	Reject JSON scalar type aliases
50e5e8686bf1d15cfcec9db9fb23fe57f700f1d2	235261a77fdd6ff3bb1e7be771902e67f31ae906	09c2f1dca431596ee71846db3629d62c282642c6	2026-08-29T23:44:45Z	Bind F119 R7 checksum successor
