old_commit	old_tree	new_commit	author_date	subject
ea08ec0a5c002443b6abe1dd93b62801b2c0b0f5	fb1a1509d7927fc20be0ebacfec9cf893e125fe1	a5a383c33970a7719ad78543e7ccad7f08426168	2026-07-29T02:25:41-07:00	Scaffold: engine submodules at kilix-land pins, build skeleton
82c09558740cdf4c9be360efacbe12906af1fed0	aff3ec6a020ad66f7ce0883a8c2c521e17ae0e68	9cdf0d876085af7d68998b03c3cf8554fd6ceb37	2026-07-29T02:34:30-07:00	World model, parity-synced cast assets, module contract header
090b2329df66c001f7ff7833dbaf57c27e17cc6e	37f35aa6bea34ac6e6b8578a140d5a2a94b0aee0	c210055f91601ccc796a9e25bf024f6c265b5d8d	2026-07-29T03:26:42-07:00	Implement the desktop: sim, wizard, world, launcher, render, audio, host
f460a482fb8e605afd711cf708aa23e18f31d683	6eb6740e05ae89e871cc461810f954c007d84931	51532b321ea8f1da90229c2106279ef7b320dec8	2026-07-29T11:49:34-07:00	Apply adversarial-review fixes across all modules
92b695fad4a5d5b681cbae629d16d2b91113a035	f4bcf4df3b92d7dfb08b87249d578799e1df1420	15bcad33698eef0882db6c0d468f1255cf25fbb3	2026-07-29T11:50:39-07:00	README: command-mode provider boot, env conventions, screenshot CLI
143ce2f26c1fd57872c7e7bf0f2c142b9bc342ff	0d5be93b04e7685e3b2184461c706465e08ff0f0	0845332cc5b88eff4df927799bc9e384579ffaa0	2026-07-29T12:23:46-07:00	Plate generation pipeline: prompts, cook, gemini driver
e24caf5c668e80f0baa1465d4bcd3222434538a8	124e850b206ba0dca15469bf2085626b9b842d90	2d161d3990a248644990bb0e33b2b0dc707dd03e	2026-07-29T13:14:41-07:00	Furniture footprints are solid: obstacle map matched to the room plates
4ced53d6f9c375a44635a9d4df4304e2d8639345	3102b8cc1466cdd4d0a2c48025a7baa925a472cf	d89bbd8ce0e7bbdcdb8bc6b491549e1a4309bd10	2026-07-29T13:32:00-07:00	Add approved room plates for all four casts
f3fc3e11cce2dcebbba691d55ce153a47399ffb8	7ba99a22962dc51f49fd9cdc3b2f1380d843826a	33fcd45bcebdd6e58757d55362d8da06f2942f95	2026-07-29T13:44:13-07:00	Per-object bindings, configuration TUI, kilix-file wiring
2687c0e262f520a6ba140a24891db352f188f07b	205e0eaf693e6c43bdfd70498ddf733a0622a52b	d90c26a43351f1fdfb5c6a905575bda82bb7273c	2026-07-29T13:38:17-07:00	Validate the approved room plate contract
71d61753f600efc2b6adc03747e922645e66cd7d	259ad1ad444bbd74b4eed1b902be41b350949972	d73b63417381ba3989e3c2cfb1ebb373334df817	2026-07-29T13:45:18-07:00	Run visual asset validation in make test
