component	source_ref	source_tip	imported_tip	ancestor_of_component_tip
kilix-desktop-contract	(F110 conformance-bound tip)	50e5e8686bf1d15cfcec9db9fb23fe57f700f1d2	09c2f1dca431596ee71846db3629d62c282642c6	yes
kilix-95	(F110 conformance-bound tip)	daf4e3aa4f7be9708fd026110c2f7de180c0a1ec	0febf62021548cd9697f2abfed83dbc905d73dbc	yes
kilix-95	feat/host-parity	979cb31733e36521fd1bebfaf2cb4ed0aa24ab36	874e0b0a7a17e3c6e458c04d12cf9b9950410e7c	yes
kilix-95	integrate/shared-libraries-20260721	3ca0496cc18fd8d4429451904d2077d54b874294	63cb60f9c3cb8d76a12ca0a547392b125bc2ad6d	no
kilix-95	main	94a1237d70c67c4c50a4490cf92a07c292468e74	3c7847ece4846f88e8f6db77a4ae89dd004c1521	yes
kilix-95	refs/tags/media-v1	502ac23487e67db4c088702830db1b8d09f2b490	bfc336515e135020440fb63ca7f53a3a87d4bd14	yes
kilix-95	refs/tags/v0.1.0	427ff326cd951d7f01d9f7ef17d6108627203b04	1d38e290aec60debbe512bffd1e64a13433c9e81	yes
kilix-95	refs/tags/v0.1.1	2fdf8ebb9d7a52386cf0522083acf2c5bf72fed7	05134ecf224fc6a06dc04cf59f69a4e27d20212e	no
kilix-95	refs/tags/v0.1.2	8ac7aa65e3df4d08cc31e020ee0517b9087c6d4c	7a44c15040dfcc582726097ea61d327305992764	no
kilix-95	refs/tags/v0.1.7	502ac23487e67db4c088702830db1b8d09f2b490	bfc336515e135020440fb63ca7f53a3a87d4bd14	yes
kilix-95	refs/tags/v0.1.8	dc185f1bb5fbc2e8e051f7080b4f5779c5bbcb2e	56c97c2cf018eec8861864da60f6880304ae268d	yes
kilix-95	refs/tags/v0.1.9	8d0449bd2f63d5ecc526bc40213490d7398a5be7	2c51f25d670b97c5304386f358d80fa119d57393	yes
kilix-95	refs/tags/v0.2.0	94a1237d70c67c4c50a4490cf92a07c292468e74	3c7847ece4846f88e8f6db77a4ae89dd004c1521	yes
kilix-cap	(F110 conformance-bound tip)	7cc98eece67f9b6547d5fb0149d483117721a5cf	2e7b99ec76167818162423891f17a1a5c6d3f5d8	yes
kilix-cap	main	8549186521de5d4add614bf25e3b1b8bf10b1896	fae3572992e3e194d2fa052e6726131fbd859bdb	yes
kilix-cap	refs/tags/media-v1	15a1826ae817d482aa857bffa0da834ae084fbe2	07d4d654e50eb5213996616b5e535ce517decd65	yes
kilix-cap	refs/tags/v3.0.0	22389c55fbf54117a40086396f31c3998a7a7478	2efc0f4dde24353d337a1c36d99a05104ab7bca7	yes
kilix-land-desktop	(F110 conformance-bound tip)	c0594aeb955352b904f006fed4c9774e496a2d38	298687c5e712e3636879a9e61f5fd31badda28ef	yes
kilix-land-desktop	fix/room-collision	c3275afdf31bfbc932c9d8511efcea79e473835e	a949f494b4ac957b06d977662cef2a15233227f5	yes
kilix-land-desktop	main	631b0d7f6da1cc1b8ff8656fffd8f2a9195df39d	411fe078dd4bacc593d143f298f00d03cfd6fb0d	yes
kilix-land-desktop	refs/tags/media-v1	afbad857b4fcdb800bfbe1e8060c7e23be068006	84c982e4051ea06c937ae62e93c3f32b2e651d12	yes
kilix-land-desktop	refs/tags/pre-reconcile-2026-08-04	31122a45f82bee9a72a84a3cabf79d66312640e4	1989d4f13ccc4c94c46072a8507fe62a80e81093	no
kilix-tui-utils	(F110 conformance-bound tip)	63187ee199aa16f71a460ef0e95ec876bee8b787	43d7fe829c6cf19a907597ef01f83e635ca33ffc	yes
kilix-tui-utils	feat/host-parity	94ebb64f899e8808f3de04e56b3334b7b1f31819	cc6f50ed8721cba05347e0a9aea5bc4b69a0bc25	yes
kilix-tui-utils	licence/0.2.1-pin-v2	96287ae54e720512b7ee21a1a7ed877a18b85a56	6547df315bc7de60ec3653d2edf7e9cb313b6be5	no
kilix-tui-utils	main	b53c2595c38daeb048ce9bcc17afc9aad982c670	ea7c5932c3ed9247246379953701fe809fa9620a	no
kilix-tui-utils	release/0.2.0	dc462372aa7417fa9bfccd82b8312d62d1077f82	c6898714ea15b5d51922c1ab928595b4c884c54d	no
kilix-tui-utils	refs/tags/catalog/0.2.1	96287ae54e720512b7ee21a1a7ed877a18b85a56	6547df315bc7de60ec3653d2edf7e9cb313b6be5	no
kilix-tui-utils	refs/tags/media-v1	612f0cba1a953306699cbb549c851a367b1191bf	dd64aae718b86a9f8a5ea2bcf0d86b3755e66151	yes
